user,icon,message,image
rayban47,Robodachi,"Ina Ina Inaaaaaaa!  Thank you so much for being such a great person!  You always help me relax and enjoy my time watching your streams.  Whether it's comfy drawing, or gaming, I always love being able to watch you. Keep being WAHnderful! <3",
TheTroubleAsh ,Yuul B. Tako,"Just another takodachi here! 

I offer my humble and sincere congratulations to this special 1 year anniversary to you, Ina! 

Remember, that you've built an incredible community, which is always there for you and happy to listen or help. 

We appreciate you for being such a kind, bright, comfy and overall amazing person.
Stay happy and lucky!

I believe that there's is far more good memories for us all to share together in the future, so let's enjoy to the fullest ^-^",
TakoTaco,Takodachi,"Wah priestess! I just wanna say that I thought I was a lonely Tako drifting among an endless of sea of empty insanity and loop streaming of unfavel; until I found about you and the tentacult; now I happily work behind the scenes at my hospital to bring ever more takos to your comfy guidance. It's been a wahderful year and I hope we can be friends for eons. 
Love; a tortilla wrapped tako",
beaneater,Tako Amelia (Takoson),"Nice streams bro, looking forward to more!!",
lilwolfboi,Tako Amelia (Takoson),Happy anniversary Ina~ I'm so glad that you've joined the wonderful Holo EN team and gave us so many treasurable moments. May world domINAtion continue to round 2!,
Joshua,Takodachi,"Thank you so much for an amazing year with Hololive, Ina! Your streams helped quarantine feel better during the pandemic. Waking up to one of your streams made my days feel better. I couldn’t be any more grateful for your debut with Hololive En. Wah!",
Tomato,Mori Tako,"【Translated English. Sorry if it's weird.】
Congratulations on your first anniversary! I am always soothed by Ina's streams. I will continue to support Ina, holomyth, and HololiveEN with all my might!
I hope that holomyth will become an even bigger group after the milestone of its first anniversary.",
Reines,Tophat Tako,Oh boy it's already one year! Time really do fly doesn't it. Anyhow it has been very fun and looking forward for more to come!,
Lapis,Takodachi,"Congrats on your 1 year anniversary, Ina! Your art streams especially have helped give me a new, more confident approach towards making music which means a lot to me. Your Minecraft streams also got me back into the game and I like having those streams play in the background while I play. Thank you for making everything feel a little more comfy each day!",
Homurakuma,Robodachi,"Thank you ina for the past year. I very much enjoyed your comfy streams ever since debut, and your drawing is amazing! I very much enjoyed your karaoke streams, from a vtuber who loves Aimer as I do. You are an inspiration for many takos. Hope you will have many years to come!",
ちゃんだいめ,Tako Ross,"Congratulations on the first year anniversary, Ina!
I’m a Japanese, and at first I started to watch your streams to study English.
But since I heard your voice, I have liked you and,  watching your streams has been my reason for living! 
Thank you for being.
I hope you’ll accomplish the world domINAtion and be fine.
You deserve the success, and take good care of yourself!",
Sclice,Takodachi,"Happy anniversary Ina! You have come such a long way, and I cannot believe that it has been a year since you have shown your amazing talents to the world. I hope you have a WAHnderful day, and may it be be best day ever! Happy inaversary, from takodachi Sclice.",
Lishi,Takodachi,"Happy 1 year INAversary our beloved Ina! This year has been so much fun, yours puns, your comfy streams, your beautiful art, your personality and the way you do things always makes me want to watch every one of your streams. We, the Takodachis, wish to keep having fun with you Ina-chan. We appreciate all your hard work! 💜",Inas_auto_x2_-_Lishi.png
Eternal Nomad,Robodachi,"Dear Priestess, thank you for this wonderful year full of fun streams, comfy moments, and all the cookies. Here's to many more with you and the extraordinary community that is the Tentacult. Who always work to organize events and help us be able to reach out to you. Congrats on one year! WAH !!! ",Discodachi_-_Tai_Fong.png
tommoyang,Yuul B. Tako,"Happy 1st Anniversary! You're such a treasure, and if anything happened to you id bonk everyone on youtube and then myself. Thanks for being there for all of us takos, and we look forward to more good times with you in the future!",
Jason Ma,Robodachi,"Hi! I just wanted to say thank you so much for being a great streamer to watch! Your streams have helped me overcome a lot of challenges over the past year, and I really appreciate all the content that you put out! I've also learned a lot about myself from watching you, and you've really helped me learn to have a better mindset on life. I have enjoyed watching your streams and I am really excited to see what else you have coming! ",
CBA88,Mori Tako,"Thank you so much for all the comfy vibes this year!! I wanted to take this opportunity to try drawing for the first time since I've been inspired by all your drawing streams!

It's been a weird year for me so it was nice to have your constant source of calm and cheer. I hope you have achieved all you wanted to this year. And hope your future is filled with more accomplishments! ",TackodachiCookieFinal_-_Anson_Wong.png
Xerra,Tako Amelia (Takoson),Happy anniversary Ina!!! Thank you for your wonderful art and singing in Violet!,
Suzuri,Tophat Tako,"Happy first year anniversary Ina!!! 1 year of being the one of many best artists, a detective of a strange cult, the son of the god of the dead that lost chaos, scientist with a crowbar , rice field farmer, an empty bug vessel that got gud, sacrificed yourself for your detective friend, recorder battled with the grim reaper, combined braincells with a shark and watched a ""questionable"" movie with a phoenix. Cheers to a year and cheers to one more and we'll become true golden takos.",
TheeST,Yuul B. Tako,"Happy anniversary!!  
I’ve watch your stream since the debut (mostly from archived because of timezone) , It’s really enjoyable and comfy! 
Let’s succeed world domINAtion(slowly) together with all takodachis around the world! Thank you very much for being here with us.",19CCE363-1CBB-42C2-A81E-573592C78357_-_Theeradech_Sutheebanjerd.jpeg
,Tako Ina,"Thank you for the year of extremely cozy streams, they've been a fantastic way for me to unwind after work!  ",
,Takodachi,"Ina! You helped me through some tough times, thanks for being awesome, love your streams!",
nomu,Yuul B. Tako,"Congrats for 1 year Ina! Thank you for a whole year full of laughs, puns and love! You have been truly an inaspiration to all of us. I am glad that I fell into this rabbit hole and I get to witness you grow more and more! I may have not been here from the beginning but I will stay here until the end. Thank you for all of your hardwork up until now! Looking forward for more streams and projects in the future! Cheers to another WAHnderful year with you! We love you Ina! ",
SpaceCowBea,Takodachi,"Hi Ina, congratulations on your first aniversary. Every time I watch your streams makes me smile, thank you for everything. I love you and I want to keep watching you for many many years! Keep working as always, you are great!",
desuragi,Yuul B. Tako,"Thank you very much for your effort Ina! I've started watching you from the end of past year and it is amazing how fast time fly. I cant watch your stream online much, because of timeline, i cant draw, even considering fact that id like to know how, but your streams still giving me so much joy. I'm really looking forward to your growth as vtuber and to your streams! Your quiet tako.",
Jakklin,Tako Ina,"Congratulations Ina, its hard to believe its already been a year. You caught my eye right from the start, I loved your design, and the more you interacted the more I enjoyed spending time watching your streams,  always so comfy and relaxing. I really appreciate that you try your best not to swear or be crude. I love your puns, always gets a chuckle. Getting to see someone as skilled as you work is a privilege and it got me drawing again. I hope to spend another year with you. Thanks Ina~ ",Ina_1year_anniversary_Final_-_Jakklin__Head_Steward.png
Samuel,Takodachi,"Hi Ina! It's already been a year since you've debuted, on day 1, i knew you would make me much happier, and i was right x) Congratulations on your 1st anniversary, and continue to make us happy takodachis! ",
REI 霊,Yuul B. Tako,happy aniversary ina! hope you have a goodtime and achieve what you want from your very takodachi (Wah!),IMG_0039_-_napon_Iamkosum.PNG
Cassadin1883,Takomfy,"Heyhoo Ina and happy 1year anniversary!
It has now been one year you streamed for us, made us laugh and made us happy. In this time, you showed us what a hard worker, great entertainer, and overall great person you are. You managed to connect many people as this and other projects where Takos come together to create something shows. You inspired me to create this picture. Thank you for all that and much more. May happiness and health be with you for many more anniversaries to celebrate. -Cass ",Resubmission_Ina_Say_Wah_easy_mode_Cass_-_Hans_Peter.png
Callan,Tako Ina,"As basic as it sounds, I suppose all I can say is thanks to you Ina and everyone else in Hololive and the community, you've had a positive effect on myself mentally and physically. Out of everyone, as amazing and unique they are, I seem to attach myself to you and your content the most and you’ve really brought new life to me. I look forward to what’s next and I’ll watch with my fellow Takos. :PAT: W A H",
Omniii,Takodachi,"Thank you for the comfy streams joining your stream and play it on the side help me become relax and focused on what I do. even though your streams starts 4-5am my timezone I have been able to join your stream suprisingly from time to time. You are the reason why I picked up drawing again and I am thankful for it, best wishes to you ina and happy inaversary!!!",
Xeraph ,Tophat Tako,"Hey Ina, I just wanna say congrats on your debut anniversary... I am very thankful that I get to meet you, because of you all of the hard times I had back in the day have been relieved due to your comfy, relaxing and joyous streams... It's also because of you that I get to do things in a joyful and relaxing manner, that ""slow and steady wins the race""... yeah, anyways CONGRATS ON YOUR DEBUT ANNIVERSARY AGAIN NINOMAE INA'NIS! More anniversaries to come!💜🎉",
,Tako Ina,"Wow it's been a year huh, you still have a long journey ahead, there's no need to fear, we Takodachis are here, we love you Ina!",
Aheago King ,Takodachi,"Wah!, Cheers to a full year of great content and good jokes. ",
r0may0,Tako Ina,Thank you so much for this year!! This year that you have been with us has made me feel great and you are one of the reasons that I got back into drawing. I hope for more wonderful experiences with you and more of your amazing illustrations. Hopefully tako mug will one day be reality.,BB183B9A-7670-443F-AEF3-2289074C59A9_-_Romayo.jpeg
Buru,Tako Ross,"HAPPY INAVERSARY INAAAAAA! We are all so proud of how far you've come. Keep doing your best creating amazing art and content, but don't forget to take care of yourself. Get rest when you need to and stay hydrated. Looking forward to more relaxing Minecraft streams with you and great collabs with the rest of Hololive. Enjoy this doodle onegai. WAH. (- w - )7",wah_-_Brian_McParland.jpg
Alex,Tophat Tako,"Thank you so much for your hard work in all the games, drawings, and chatting as you entertain us takos. It definitely helps me through my time preparing for college and such since it lets me just shut my mind off and listen to the chill streams. You keep doin your thing however you do it, it suites ya. Anyways, long story short, I wish  you luck in your career endeavors, v-tubing and potentially others.",
,Tako Amelia (Takoson),Me be sad. Ina be streaming. Me no more sad. thank ,
HyeRez Tako,Yuul B. Tako,"Hey Ina! Congrats on 1 year! I hope you have had as much fun as I have. You've helped me through a lot of tough times with the countless wah's and other things that you do. Watching you has really helped me deal with stress, and the community that you have is absolutely incredible. Thank you for being you Ina, and wah on! ",
ScribblyGumbo,Mori Tako,Happy Ina-versary! Thanks for making a stressful year a bit more seiso.,inasiong2_-_UrgotFantasy.jpg
Kino,Yuul B. Tako,"why hello Priestess! i hope you are doing the most fine, as it is your one year anniversary! time flies... i can remember the HOLOEN saturday collabs like they happened yesterday. you see, i'm more of a lurker... but your streams have changed me. your kindness, your cuteness, your strive to do/be better... i even bought a tablet bc of you and this is my first drawing ever in it! i hope you continue to be awesome. takodachis are very proud of you! much love to you, Ina!",wah1_-_Kino.png
Giraffe-chan,Tako Ina,"Hi Ina,
Congrats on the Wahn Year anniversary. The past year has simply been magical. Your streams inspired me to work harder and at the same time calmed me at bad days.
Hoping for many more years of comfiness.
",
Blubaeri,Takodachi,"Thanks for all the streams and moments, and for motivating me to draw!",ina-anni_-_Evan_Lin.png
Owy,Yuul B. Tako,"Happy Anniversary or should I say INA-versary... First of all, I would like to say Thank you for making such a good content that makes us happy and entertained. Secondly, Thank you for sticking with us for about a year! time flies really fast even a year feels like a week. We are truly grateful for having you here to be with us and help us with keeping our spirit throughout this rough year. Once again Thank you so much for being here we truly appreciate it. TETAP SEMANGAT INA!!! ",inaversary_-_Arya_Raditya.png
pjpastures,Tako Ross,"Congratulations on WAHn year of tako time! You have been a shining beacon of hope and enjoyment (sorry IRyS) during some very weird times. Thank you for all the puns, the gorgeous art, your beautiful singing, and just being YOU! Much love from this humble takodachi, and hope you have had as much fun this year as we have. <3",
BrokeSternums,Tophat Tako,Just wanted to say thank you for all the streams recently watching you play resident evil 7 and wonderful 101 have been some of my favorite streams to watch for the little time I've been watching you for it might be only about 2 months but I hope to make it a year or more soon enough keep at it at your own pace.  ,
kovaleski,Takodachi,"just want to see that i love you chill streams , and that i love your drawing as well , and i really love your puns as well , specially that they are similar to my kind of humor and really look forward to continue spending a good time with you in the future",
Iggy,Tophat Tako,"Happy Inaversary! I admire your passion for art, it can be felt by seeing your art and your streams! You inspire me everyday and help me get motivated to get better at drawing. I can't thank you enough, Ina, for being yourself. ",inaversary_-_Skychord6900.png
Guardy,Takodachi,"Hihi. Uh i dont really know what to say here to be honest. A simple thank you for everything you have done for us knowingly or not doesnt feel like its justified.. i personally would have loved to do an illustration submission but life is very rough and hard for me at the moment so i couldnt possibly get it done and be happy with it. 
BUT thanks to you this rough life has calm and nice phases. I mean your streams and the time i spend in them. So thanks for giving me a break and help me have fun!",
Aizy,Tako Ross,Thankyou Ina for Wahderfull fun and entertaining 1 year journey. you're inspiring me to becoming an artist since your 1st drawing stream. i hope you can stay with us for a few year in the future and have a good health always.,Inaa_-_Aizy_-_New_KFP_Kidsmeal_bonus_every_weeks.jpg
Kaori,Yuul B. Tako,"Happy one year anniversary Ina! This past year has been so comfy and exciting! I am incredibly thankful for your streams, from challenging story games to beautiful drawings. Your chatting and watch-along streams never fail to help me relax, and your singing streams set my heart ablaze. You are such a wonderful person and I have so much respect for all the effort you put into streaming and behind the scenes. I’m so happy you entered my life and I will never be able to express my gratitude enough.",InaOneYearAnniversary_-_Vondalon_The_III.jpg
ShuiNot ,Tako Amelia (Takoson),"HELLO INA 
congrats on your INAversary :D
Your streams always make me happy and got me through some dark and stressful times 
Ever since i started WAHtching your streams I’ve noticed that I started making puns when TAKOing to people but I’m pretty proud of it 
But seriously thank you for doing what you’re doing make sure to take a break from time to time 
You’re funny,awesome,talented and us takodachis will always support you :>
And remember you can’t spell world domination without INA",C2CAD6D2-6ABC-407F-BA4A-0C5B8E321EE9_-_Dis_not_Shui.png
mewn,Takodachi,"Happy Anniversary Ina! Its been that long already huh, you've been my entry into this rabbit hole and been my oshi ever since. Thank you for all the fun moments, comfy streams, inspiring me to work hard (and wake up at 4am) and most of all introducing me to another great community: the takodachis! Make sure to take care of your health and here's to another year with us!

P.S I'm no artist but i'll practice drawing a tako so hopefully i'll have a cute one attached to this letter next year 人(_ _*)",
식식이,Tako Ina,Congratulation on your 1st anniversary Ina! I'm a takodachi from Korea. I'm so glad I've noticed you and my life just changed a lot! Thank you for all of your efforts. You deserve all the loves we give! I love you so much💜! I'll be preparing for your 30th anniversary lol😂 I wish you endless happiness. You deserve it! I will always be on your side. Have a nice day!,1_-_.jpg
Ina's apostle 1st,Tako Ina,Ina you are amazing and always brighten my day. Your skills at drawing are excellent and your comfy vibes soothe the soul. I'm always looking forward to tunning in to your streams. Please continue being amazing! ,
Degenerate's Dogma,Yuul B. Tako,Love Ina's streams!  Always look forward to her next stream!,
Iggy,Takodachi,"Happy 1 year of Hololive Ina! My sister and I always watch your streams together and they’ve honestly been a huge help for both of us during quarantine. Your streams are always a cozy, comfortable place to be, and never fail to put me INA good headspace. Keep on doing what you’re doing, because what you’re doing is honestly inacredible :).",
Vikare,Robodachi,"Thank you so much for everything, Ina. You inspired me to get back into drawing again.",
Netter11,Takodachi,"Since discovering you when i was at low point in my life
Having the chance to watch your streams, singing,drawing, playing games and interact with holomembers and takos, made me go ""One more day"" 

Thank you <3

p.s. Waiting for KDTD to arrive as i bought it :3",
Takolyte Xander,Takomfy,"Dear Ninomae Ina’nis,
	Honestly speaking, I have a lot of things to say to you but I thINK I’ll keep it short. Ever since I met you, my life has considerably changed INA good way. My passion and motivation have all been reignited thanks to you. Your words have led me to improve myself WAHn step at a time. Always remember that we Takodachis are always here for you.
Thank you for being my Priestess, Ninomae Ina’nis. 
									                           Yours faithfully, Takodachi Xander										
",INAversary_Illustration_-_Xarles_Cruz.jpg
Naliat,Tako Amelia (Takoson),"Thank you Ina for the amazing past year! Your very calming streams are the highlight of my day when I tune in, and usually brighten my day when it isn't going to well. Anyways, here's to another fantastic year! (p.s. hope you enjoy the drawing its the first time I've tried to do a ""serious"" drawing.)",dekai_takodachi_-_Naliat.png
Schantsan,Takodachi,"Hello! Congratulations Ina for streaming this long! Giving us a way to escape reality and entertainment that some of us enjoy so much. Been a fan since the start, I haven't been watching as much but seeing you release a song and come this far makes me very proud to be part of the tentacult! Thank you again so much and so proud of you! Also Have you heard of Arkham editions? ",
Icemint,Tako Ross,Happy 1 yr anniversary Ina!! I enjoy your streams because they're wholesome and always put a smile on my face :) Thank you so much for the past year! I just want to say you're extremely talented and I can't wait to see how your content grows,ina_anniversary_v2_-_Icemint.png
deathtrap,Yuul B. Tako,Thank you ina for this amazing year of making everyone happy! ,
sojuice,Tako Ross,thank you ina for the very comfy streams! = w=)7 ,test_-_sojuice.png
Aeven,Yuul B. Tako,"WAHello Ina, Happy Anniversay!

It's been a year already since you debuted and almost a year since I became a fan of yours.
Before that, I was just playing games half-heartedly. But since I joined the hololive community, I found something that I wanted to do.  That is to draw, I used to do it back in the day but I stopped. But thanks to you, I found my motivation and goal.  It might just be a hobby for now but one day, I want to stand besides you and other artist.

Thank you Ina and Takodachis",received_956695548224925_-_Aeven.jpeg
Kazeneko,Yuul B. Tako,"Hi ina thank you so much I don't know what else to say because no amount of words amount to how much your streams have made me feel better as a person. Your comfy streams always remind me to take a break and indulge in hobbies. I started drawing again, it may be bad right now but I'll make you proud Just like you said at your bday stream ""thank you"" isn't enough to express how I feel about this community. Ina from the bottom of my heart, thank you so much, you've made this dark tako warm again",
Kino,Takodachi,"Wah! Congrats on the 1 year anniversary Ina! I have just wandered into the Holo EN Rabbit hole quite recently, and you are one of the first Vtubers I watched, and I loved every second of it! I really enjoy watching your gameplays (especially horror games), though I'm only able to watch the VODs because I live in another timezone, but hopefully I can catch one of your streams in the future. I look forward to many more streams to come! (and merch of course heheh) once again, congrats!",
Dooge,Tako Ina,"Happy  Inanniversary !! Thanks Ina  for bringing us this wonderful year.Your  stream and original song  bring me a lot of happiness in life, I'm glad to be one of the takodachis !!! I make this fanart to commemorate this anniversary. I believe we will have more hapiness next year. Luv u Tako 💜",20210820_300DPI_-_D_oge.png
Leonmendo,Tako Ross,"Ina happy anniversary!! I havent been here since the beginning but still i want to thank you, and support you , even if its just with a simple draw or a message, well, im not so good at words so thats it, thank you for everything and hope you have a great day with the other girls.",image0-8_-_Ricardo_Leon.png
Tsunscreen,Mori Tako,"Cannot overstate how cool it is to watch you draw, and your streams in general. Still can't get over how perfect a design us Takodachis have been blessed with! Mad respect, and here's to another year. WAH!",Ina1Yr_-_Tsun_Screen.png
KyujinQ,Tako Kiara (Tako Bell),"Happy First Anniversary, Ina!
Time flies by when you're having fun, especially if it's with you.
I adore you, our WAHnderful Priestess, and only hope for the best for you.
While there will always be hardships, we hope to ease even the tiniest bit of stress you'll encounter as life goes on.
We Takodachi will try our utter best to support you no matter what may come our way.
I pray that we will be able to see you this time 'round year after year until the end.
World DomINAtion, here we come!
WAH!
",
Deetz (ディッツ),Takodachi,"Hi Ina! Congrats on your WAHn year anniversary! I've enjoyed your comfy streams and your puns since your debut, and I'm excited for all your upcoming streams as well (3D debut perhaps?) Keep doing your best, but don't forget to take breaks!
-Deetz (ディッツ)",
aaron,Takomfy,"It's awlready been wahn year huh? Honestly really hard to inamagine. Honestly if I didn't meet you Ina, I don't know how my year would be right now. And of course this goes to everyone in Hololive as well. I'm also thinking of starting drawing because of you. Thank you for the wahnderful year you gave us, and here's to many more to come. And hopefully, we can finally achieve World DomINAtion.",
Turtle,Yuul B. Tako,Thank you Ina for always having time to takobout stuff with us. Keep being tentacool.,
Gavin Dreemurr,Takodachi,"Wah!

Holy mother of Asgore, it's been a year. How'd you like it? I sure had a blast, and I'm hella sure a million more can agree. Thank you for streaming for us, and may this next year be ours to shine!",
Aklyon,Takomfy,Happy Inaversary! Looking forward to more comfy streams and awesome drawings!,
James,Violet Tako,"Happy one year anniversary, Ina! As someone who got into HoloLive shortly after the debut of EN I've been following the entire cast, catching whatever streams I can when I'm not working or otherwise being held back by real life obligations. That being said I always make the most effort in trying to catch your streams, as your sweet voice, charming personality and outstanding ability to be both entertaining and relaxing caught my attention and I've been a happy takodachi ever since! ",
EXStephen,Takomfy,The day of maximum comfiness and (possibly) comfy world domination is upon us. Thank you for always delivering the absolute most comforting streams for all of us Takodachi! Here’s to another great year!,
Gray,Takodachi,"Hi Ina! Happy anniversary! Thank you for the comfy streams and hours of content! You make everyone's day better with that cute, wonderful smile! I can't thank you INAFF for streaming, have a great anniversary!",
TehBlueArrow,Takodachi,"Congratuations on 1 year already Ina~!! Feel's like time has just flown way too fast this year, can't believe we're already going to be a bunch of silver takos soon! Loved you since your debut stream and I'm so happy I got to follow you and share the funny moments with all the takodachi!! Here's a lot more years to come! ",
EssThatYou,8-bit Tako,"Thank you Ina for one year of fun and puns. 
And making me find my love for illustrating.
Thank you and happy anniversary!",NINOMAE_INA_NIS_AUG_24_2021_-_Israel_Bobadilla.jpg
Jet Lunar,Wonder Tako,Thank you for all the comfy art hours and WAHnderful gaming. You are an inspiration to all the takodachis and more.,Ina_Birthday_gift_-_JetLunar.png
,Takodachi,"Congratulations Ina, thank you for everything. You have inspired me to start drawing again! I hope you have a great day. ",
Act2hu,Wonder Tako,"Thank you for the wah-derful streams over the past year Ina, and especially the Wah-derful 101, one of my favorite games of all time. It was a treat watching you play!",
Domlax,Takodachi,Thank you Ina for all the smiles and love!!!!!,
Fuzzles,Takomfy,A great year full of comfy vibes! Thank you very much for this year and I look forward to more comfy streams in the future!,
AncroKT,Wonder Tako,"Ina, you're going to see this a lot, but thanks for your chill streams and fun attitude. Your song was excellent, your art is always amazing, and you pick really fun games to watch. Takodachi, UNITE UP!",
Junn,Takodachi,"Wah!, Its pretty amazing that already pass a whole year since the debut stream. 
It was a strange felling about this year, it was fast and slow at the same time, but in the end,  all the girls but mainly you, Ina, made the most enjoyable year of my life.

The only thing i can say is thank you and keep doing like you already does. ",
Alpha_Cas,Takomfy,"Happy Inaversary! Thank you for being my inaspiration for a year. Over the period of one year, my art has improved a lot thanks to  the techniques I learned from your art stream. I hope you don’t overwork yourself, and I look forward to watching more of your stream. ^0^",
EsotericEmperor,Takomfy,Thank you for all the comfy and artistic streams you have shared over the year! It seems like it was only yesterday that you debut and surprised us all with your amazing artworks and comfy gaming steams. Thank you for everything!,
,Takomfy,"Your streams have pushed me through many assignments and your VODs through many late nights. Bundling up with a good stream got me through a very lonely, cold winter and now through a much better summer after. Here's to another pun-filled year! ",
Braincell #2801 ||: GonzaGKX,Takomfy,"Hi ina! congratulations on reaching 1 full year since your debut! it's been a roller-coaster of fun and comfiness on every single stream and you've made my days much brighter with your lives, i will continue supporting you on all i can and proudly call myself a TAKODACHI!  ",
雑魚,Yuul B. Tako,"Thank you Ina for your relaxing streams. While I may not always be able to watch your streams at 3 in the morning, they are a relaxing thing I can play in the background while doing work.",
UmagaSoySauce,Takomfy,Hey Ina! Thanks for the super comfy streams. You're the one that solidified my falling into the rabbit hole as my oishi. MY NUMBER WAHN!,
Zmaxter,Tako Gura (Chum Tako),Thank you for always making our days brighter. Keep up the amazing work = w= !,
Bluburry,Tako Kiara (Tako Bell),"WAH! Happy birthday Ina! 
Thank you for all the amazing and comfy streams I can never get inaff of!
I'm so happy to see all the progress you've made in such a short amount of time and I hope the future is just as bright and full of good things.",
フォルテッコ,Takodachi,Happy 1 year anniversary! Glad to have been a takodachi since the start and never once regretted it. Love your punny personality and the amazing art that you draw! Here's to more masterpieces and new experiences! Congratulations!!!,
Nuclear,Takomfy,"Hello, Ina very cute. Thanks for being so motivation and giving us your all. I love my priestess!",
Hololive Boubon,Mori Tako,Thank you Ina for the 1 year WAHnderful journey! Here's to many many years more!,wah_year_anniversary_-_Hololive_Boubon.jpg
Cyan Dude,Takomfy,"While by now there are way too many moments to pick one out and call the best, the one thing I love the most is how over time she's grown to feel more comfortable streaming and collabing with so many people and easily cracking jokes and poking fun at them. That kind of growth over this last year has been a blast to see, and the way she keeps growing and pushing us to grow ourselves, all while being a comfy place to stay at; truly the best and comfiest Priestess in the world.",
Nathian,Takodachi,I want to thank you for being such a wah-nderful person and for always entertaining me everyday through your streams. You always manage to make me smile everyday and I am a proud takodachi and proud to be a member of the Tentacult. I'm looking forward to more of your content which I can get inaff of! Love you Ina!,
KyuuB,Yuul B. Tako,"Congratulations Ina and HoloMyth on your 1 year anniversary! It's absolutely crazy how fast the year went by with you guys. You guys make time feel so fleeting, as week after week pass by, but you Ina, continuously made me look forward to each week as you ""ᴘɪɴ ᴘᴏɴ ᴘᴀɴ ᴘᴏɴ""ed out your weekly schedules. It genuinely gave me happiness and a reason to start the day happy knowing your upcoming streams will be there to cheer me up or make my day even better. Thank you Ina for all the hard work you do.",
Masemase,Hollow Tako,"Happy Ina-versary!!! I would like to wish you well for Present Ina and Future Ina in hopes that you are able to stay comfy and eat many snacks! I haven't been with you the entire journey, but the adventure with you and Hololive has been fantastic! I hope your future endeavors are wonderful whatever you decide to do! Thank you, Ina!",
SaNiNaruto,Takomfy,Happy 1 year to your debut! I hope this year has been the best for you as much as it has been for me! You bring a lot of talent and as well as life into your art and I am still amazed at it and you inspire me to create art as well! Here goes to an another year of debut!!!!,
VtuberProtector,Mori Tako,Happy Anniversary Ina!,
Neicilef,Takomfy,"Wah! Over the past year, seeing your passion and the efforts you put in your streams and in your art truely inspired me to put even more efforts in my own passion, music.",PXL_20210825_023812008.MP_-_Felicien_Bonnet.jpg
Ryo,Takodachi,"Hey Ina, congrats on your first anniversary! Been cheering you on since debut and wow you've really grown into an amazing streamer. Your personality and voice create such a comfortable atmosphere that always warms the heart (Violet is a banger btw!) It goes without saying your skill as an artist is top tier; I am always impressed by how thoroughly detailed, yet fast your lineart is. Thanks for being you Ina, and I'm looking forward to seeing what you'll create in the next year. Cheers to you~",
A birb,Tako Kiara (Tako Bell),"Thank you Ina for providing us Takos many good ways to relax ourselves throughout your journey. Your contents are always interesting to look at. I wish you to have a great happy birthday, and I hope you are always comfy and wah. <3 (^_^)7",
Nier Avesta,Yuul B. Tako,"Hey Ina, thank you for all the effort you've put into your streams and us as a community. I hope you have a wahndayoful anniversary and try more Dark Souls ASMR sometime. Thank you for giving us peace in a world that is short of it. In time, I hope we can repay the favor. Sincerely, a sleepy Takodachi",
Not Orious,Takodachi,Happy Innaversary! It's been a wahnderful year enjoying your comfany. It's always a joy to watch and listen to your streams. Please accept this cursed tako jpeg made with MS Paint 3D. Wah.,CursedTako_300px_-_Not_Orious.jpg
Ryro,Yuul B. Tako,"Thank you for one year of awesome streams, here's to many more!",
Evirstar,Takomfy,"Wah! Ina! Thank you so much for your constant comfiness and companionship throughout this past year. You have been an comforting light in the deep darkness of the Ancient Ones for all us worldwide one million+ Takodachis. We all truly appreciate every effort you have put in to include us in all the games, chats, drawings, and member streams! It must be surreal to have an experience like this, but we are all so, so happy to spend it with you! 10Q!
 ",
Maionetis,Violet Tako,Happy Birthday Ina! I want to thank you for all the amazing wholesome streams you've brought to everyone. Your the reason why I found my passion in art again and someone who has helped me get through this year. I wholeheartedly wish you an amazing birthday and so does everyone else too.,
Iro,Yuul B. Tako,"Ina, you've been consistently one of my favorite content creators since your debut. In the best way possible, your cozy energy and demeanor put me to sleep during your debut and i knew you were the one. I can't wait to see what wonderful things you do in the future and it's been an absolute pleasure to see the great things you've done already. Congrats on your anniversary and here's to many years to come!!",
Frosty,Hollow Tako,"It's already been one year since you debuted, yet somehow it really doesn't feel like it has been that long. I'm sure the the reason why it went by so fast is because you and your genmates brought so much happiness to our everyday. Thank you for everything Ina, and I hope we can keep enjoying your company in the future!",
Void,Mori Tako,"Ina has always been the quiet high point of HoloMyth. She exudes major snuggly-cuddly energy, while still being serious and mature. If there was ever any member of Hololive I would wish to hang out with, it would undoubtedly be Ina. I feel I'd have the best time with her.",
Munch,Takodachi,"Congratulations for 1 whole year of Takotime!! I can't believe its already been a year since debut even though it feels like it wasn't too long ago. I'm really glad I got the chance to be a part of this community, it's brought a lot of happiness to me and I hope we've brought as much happiness to you as well. All the work and effort you've put has brought you here and I'm glad I've been here for the entire ride. Here's to another year full of Wahnderful moments and many more puns.",
AppLaGee,Tophat Tako,"A whole year, huh? It's only been a year. It feels like it's been oh-so much longer. Since debut, so much has happened, it feels like it's been ages. One thing that's remained constant among all the change, however, is your calmness and inspiration. You've been a constant in such a time of turmoil that despite everything that's been happening, I still pushed through and tried to find ways to improve myself. Thank you, truly, for all your hard work, and I'm looking forward to the next 365 days!",
,Takomfy,"Happy Anniversary Ina! Crazy to think that it's been a whole year since you've debuted, honestly it's felt way longer. You've helped me and a lot of takodachis throughout this year with your comfy demeanor and constant puns! I hope you had a lot of fun with us and your senpais and genmates. Here's to more years to come!",
BunBun,Takomfy,"Hiya! I just wanted to say thank you for a year of laughs, wah's, and comfiness Ina. I love the content and my past year has certainly been better than it would have been thanks to you. Keep up the good streams, you're awesome!",
